Order_ID,Customer_ID,Order_Date,Customer_County,Product_Category,Order_Value_KES,Payment_Method,Delivery_Method,Courier_Partner,Package_Weight_Kg,Shipping_Fee_KES,Transit_Time_Days,Fulfillment_Status,Customer_Rating
KE-10060,CUST-5236,,Kiambu,Electronics,3458.0,Credit/Debit Card,Home Delivery,Chui Lockers,31.83,342,4.0,Delayed,1.0
KE-10061,CUST-5415,2025-06-25,Machakos,Fashion & Apparel,14898.0,Cash on Delivery,Smart Locker,DHL,20.97,492,1.0,Delivered,
KE-10062,CUST-5436,2025-12-03,nairobi,Home & Living,11962.0,m-pesa,Home Delivery,Wells Fargo,19.61,486,6.0,Returned,5.0
KE-10063,CUST-5047,2025-11-27,Nairobi,Fashion & Apparel,11697.0,m-pesa,Smart Locker,Sendy,17.82,0,3.0,Cancelled,4.0
KE-10064,CUST-5078,2025-03-25,Uasin Gishu,Fashion & Apparel,1931.0,COD,Boda Boda Last-Mile,G4S,18.74,630,2.0,Delayed,4.0
KE-10065,CUST-5393,2025-05-25,kiambu,Health & Wellness,20313.0,Cash on Delivery,Home Delivery,DHL,29.62,441,2.0,Delivered,4.0
KE-10066,CUST-5046,2025-04-24,Nairobi,Groceries,8225.0,Cash on Delivery,Smart Locker,G4S,4.9,633,2.0,Cancelled,1.0
KE-10067,CUST-5463,,Mombasa,Home & Living,20451.0,Cash on Delivery,Pickup Station,Chui Lockers,22.4,214,,Cancelled,5.0
KE-10068,CUST-5123,15/03/2025,Kiambu,Groceries,22396.0,Credit/Debit Card,Home Delivery,Chui Lockers,30.58,546,3.0,Delivered,3.0
KE-10069,CUST-5123,2025-12-03,Kajiado,Fashion & Apparel,18391.0,COD,Boda Boda Last-Mile,DHL,6.46,0,2.0,Delivered,3.0
KE-10070,CUST-5477,2025-06-08,Nakuru,Electronics,6762.0,Cash on Delivery,Smart Locker,Chui Lockers,31.14,545,2.0,Cancelled,3.0
KE-10071,CUST-5410,2025-02-12,Uasin Gishu,Fashion & Apparel,11025.0,COD,Boda Boda Last-Mile,G4S,24.17,193,3.0,Returned,1.0
KE-10072,CUST-5038,2025-12-10,Kajiado,Electronics,20408.0,m-pesa,Smart Locker,Wells Fargo,13.46,769,4.0,Delivered,5.0
KE-10073,CUST-5070,2025-09-29,Mombasa ,Electronics,6596.0,Cash on Delivery,Boda Boda Last-Mile,G4S,34.87,652,2.0,Returned,4.0
KE-10074,CUST-5044,2025-12-16,Machakos,Electronics,10014.0,m-pesa,Pickup Station,Sendy,34.48,392,1.0,Delayed,5.0
KE-10075,CUST-5066,2025-11-10,kiambu,Beauty,13960.0,Cash on Delivery,Boda Boda Last-Mile,Chui Lockers,23.84,714,2.0,Cancelled,1.0
KE-10076,CUST-5425,2025-03-05,nairobi,Beauty,17503.0,Credit/Debit Card,Smart Locker,Local Rider,18.72,322,5.0,Returned,5.0
KE-10077,CUST-5172,2025-10-16,Nairobi County,Beauty,9172.0,M-Pesa,Smart Locker,DHL,33.49,565,1.0,Delayed,4.0
KE-10078,CUST-5237,2025-04-15,Kajiado,Health & Wellness,13565.0,Cash on Delivery,Home Delivery,Wells Fargo,15.79,201,4.0,Delivered,3.0
KE-10079,CUST-5478,2025-10-23,nairobi,Home & Living,10610.0,COD,Pickup Station,Local Rider,12.42,656,7.0,Cancelled,1.0
KE-10080,CUST-5433,2025-02-25,Kajiado,Groceries,13626.0,Cash on Delivery,Boda Boda Last-Mile,Local Rider,9.86,775,1.0,Delivered,5.0
KE-10081,CUST-5480,2025-07-07,Nakuru,Electronics,4990.0,m-pesa,Pickup Station,Wells Fargo,32.6,552,6.0,Cancelled,5.0
KE-10082,CUST-5272,2025-09-08,Nairobi,Beauty,14149.0,M-Pesa,Smart Locker,DHL,27.42,741,1.0,Returned,
KE-10083,CUST-5317,2025-07-14,Nairobi,Beauty,1120.0,m-pesa,Boda Boda Last-Mile,DHL,25.49,681,3.0,Delayed,3.0
KE-10084,CUST-5489,2025-03-30,Nakuru,Health & Wellness,22806.0,m-pesa,Smart Locker,Local Rider,10.52,454,6.0,Delivered,4.0
KE-10085,CUST-5178,2025-10-14,Mombasa ,Home & Living,12941.0,m-pesa,Smart Locker,DHL,2.86,412,2.0,Cancelled,
KE-10086,CUST-5139,2025-03-12,Mombasa,Beauty,7894.0,COD,Pickup Station,Sendy,33.76,311,4.0,Delivered,3.0
KE-10087,CUST-5146,2025-11-27,Machakos,Home & Living,1722.0,m-pesa,Home Delivery,Chui Lockers,27.6,446,1.0,Delivered,3.0
KE-10088,CUST-5232,2025-11-25,nairobi,Groceries,4191.0,,Smart Locker,Wells Fargo,19.92,329,6.0,Cancelled,3.0
KE-10089,CUST-5044,2025-07-25,nairobi,electrnics,13068.0,Cash on Delivery,Home Delivery,Wells Fargo,22.91,213,4.0,Cancelled,
KE-10090,CUST-5394,2025-06-09,Mombasa ,Fashion & Apparel,4876.0,Cash on Delivery,Boda Boda Last-Mile,Local Rider,28.09,403,5.0,Delayed,5.0
KE-10091,CUST-5360,2025-07-05,Nairobi,Home & Living,18085.0,M-Pesa,Boda Boda Last-Mile,Sendy,31.47,206,5.0,Cancelled,4.0
KE-10092,CUST-5344,2025-06-07,Nairobi,Home & Living,14383.0,M-Pesa,Boda Boda Last-Mile,Sendy,10.12,288,6.0,Delayed,4.0
KE-10093,CUST-5445,2025-07-13,Machakos,Fashion & Apparel,11895.0,m-pesa,Pickup Station,Sendy,26.49,624,5.0,Delivered,2.0
KE-10094,CUST-5235,2025-06-27,Kajiado,Electronics,14237.0,m-pesa,Home Delivery,Local Rider,1.27,199,1.0,Delivered,1.0
KE-10095,CUST-5071,2025-09-15,Kajiado,Home & Living,22537.0,Credit/Debit Card,Smart Locker,Wells Fargo,2.23,329,4.0,Delivered,
KE-10096,CUST-5343,2025-07-15,kiambu,FASHION,18126.0,m-pesa,Home Delivery,Local Rider,14.5,692,2.0,Delivered,4.0
KE-10097,CUST-5433,2025-07-09,Mombasa,Groceries,"KSh 20,256",M-Pesa,Pickup Station,Chui Lockers,7.39,460,1.0,Returned,1.0
KE-10098,CUST-5382,2025-09-03,Kajiado,Fashion & Apparel,9775.0,Cash on Delivery,Boda Boda Last-Mile,Chui Lockers,3.54,630,3.0,Delayed,1.0
KE-10099,CUST-5288,24/04/2025,Nakuru,Home & Living,10172.0,m-pesa,Smart Locker,Wells Fargo,26.74,652,6.0,Returned,5.0
KE-10100,CUST-5250,2025-04-05,Machakos,Home & Living,2935.0,COD,Pickup Station,Sendy,35kg,667,1.0,Cancelled,4.0
KE-10101,CUST-5337,,Nakuru,electrnics,,COD,Pickup Station,Sendy,32.14,396,5.0,Delayed,1.0
KE-10102,CUST-5191,2025-07-27,Kajiado,Beauty,3141.0,M-Pesa,Boda Boda Last-Mile,Local Rider,16.71,325,7.0,Cancelled,1.0
KE-10103,CUST-5458,2025-09-28,Kajiado,Groceries,2936.0,M-Pesa,Smart Locker,Sendy,33.66,557,3.0,Delayed,
KE-10104,CUST-5459,2025-10-04,nairobi,Beauty,16909.0,m-pesa,Smart Locker,Local Rider,26.94,556,3.0,Delayed,4.0
KE-10104,CUST-5116,2025-07-02,nairobi,Beauty,20770.0,Cash on Delivery,Pickup Station,DHL,13.7,0,3.0,Delivered,2.0
KE-10106,CUST-5044,2025-04-06,Nakuru,Electronics,18660.0,,Boda Boda Last-Mile,Chui Lockers,27.29,722,2.0,Delayed,2.0
KE-10107,CUST-5071,2025-05-18,Nairobi County,FASHION,16367.0,COD,Pickup Station,Chui Lockers,3.83,555,5.0,Delayed,3.0
KE-10108,CUST-5220,2025-11-30,Kiambu,Beauty,10795.0,COD,Pickup Station,Wells Fargo,13.22,552,5.0,Delivered,
KE-10109,CUST-5393,,Kajiado,Beauty,10046.0,COD,Pickup Station,DHL,10.67,307,7.0,Cancelled,4.0
KE-10110,CUST-5298,2025-07-25,Kajiado,Electronics,12281.0,M-Pesa,Pickup Station,DHL,23.3,0,6.0,Delivered,4.0
KE-10111,CUST-5054,2025-01-06,Kajiado,Home & Living,7742.0,Credit/Debit Card,Pickup Station,Wells Fargo,34.92,452,1.0,Delivered,3.0
KE-10112,CUST-5159,2025-06-25,Kisumu,Electronics,23331.0,,Smart Locker,DHL,3.92,399,5.0,Delayed,2.0
KE-10113,CUST-5408,2025-07-27,Machakos,Electronics,,m-pesa,Home Delivery,Local Rider,3.65,341,2.0,Delayed,5.0
KE-10114,CUST-5494,2025-11-24,kiambu,FASHION,15503.0,Cash on Delivery,Home Delivery,DHL,4.77,462,3.0,Delayed,5.0
KE-10115,CUST-5070,2025-10-22,Machakos,Beauty,6176.0,Cash on Delivery,Home Delivery,Wells Fargo,33.32,349,5.0,Returned,4.0
KE-10116,CUST-5212,2025-12-30,Nairobi County,Health & Wellness,"KSh 10,071",m-pesa,Pickup Station,Chui Lockers,19.84,657,1.0,Cancelled,3.0
KE-10117,CUST-5277,2025-01-22,Mombasa,Electronics,21919.0,COD,Home Delivery,Chui Lockers,30.3,392,6.0,Returned,5.0
KE-10118,CUST-5323,2025-08-08,Mombasa,Health & Wellness,11995.0,Cash on Delivery,Smart Locker,Local Rider,34.49,247,7.0,Delivered,
KE-10119,CUST-5064,2025-12-26,Kajiado,Fashion & Apparel,22658.0,COD,Home Delivery,DHL,27.83,562,3.0,Delayed,4.0
KE-10120,CUST-5167,,Kajiado,Groceries,23348.0,m-pesa,Pickup Station,Chui Lockers,9.47,495,2.0,Delivered,
KE-10121,CUST-5390,2025-01-25,,Health & Wellness,"KSh 15,459",COD,Pickup Station,DHL,10.64,430,3.0,Returned,2.0
KE-10122,CUST-5026,2025-07-22,Mombasa,Electronics,535.0,Credit/Debit Card,Home Delivery,Sendy,24.38,582,4.0,Returned,1.0
KE-10123,CUST-5052,2025-06-10,kiambu,Health & Wellness,21523.0,M-Pesa,Pickup Station,Chui Lockers,12.36,305,5.0,Delivered,1.0
KE-10124,CUST-5071,2025-03-05,kiambu,Fashion & Apparel,21622.0,Credit/Debit Card,Home Delivery,DHL,30.67,771,6.0,Delivered,4.0
KE-10125,CUST-5197,2025-02-27,Nairobi County,Electronics,10870.0,Cash on Delivery,Pickup Station,Chui Lockers,33.41,167,,Delivered,4.0
KE-10126,CUST-5259,2025-05-27,kiambu,Groceries,18082.0,M-Pesa,Pickup Station,G4S,18.82,799,6.0,Returned,4.0
KE-10127,CUST-5373,2025-05-03,kiambu,Home & Living,10634.0,M-Pesa,Home Delivery,G4S,17.42,679,6.0,Returned,3.0
KE-10128,CUST-5375,2025-03-02,kiambu,Electronics,19395.0,M-Pesa,Pickup Station,Wells Fargo,5.59,737,1.0,Delivered,1.0
KE-10129,CUST-5125,2025-01-24,nairobi,Health & Wellness,23897.0,COD,Smart Locker,Wells Fargo,28.93,272,1.0,Delivered,4.0
KE-10130,CUST-5035,2025-08-27,Mombasa ,Home & Living,12588.0,Credit/Debit Card,Smart Locker,Local Rider,34.02,350,5.0,Delivered,4.0
KE-10131,CUST-5012,2025-04-30,Kajiado,electrnics,22038.0,m-pesa,Pickup Station,Chui Lockers,17.27,295,1.0,Cancelled,4.0
KE-10132,CUST-5358,2025-07-10,Uasin Gishu,Fashion & Apparel,13422.0,m-pesa,Smart Locker,Wells Fargo,32.42,484,3.0,Delivered,5.0
KE-10133,CUST-5055,2025-03-21,Kiambu,Home & Living,7303.0,M-Pesa,Smart Locker,DHL,24.42,485,6.0,Cancelled,1.0
KE-10134,CUST-5346,2025-06-03,Nairobi,Health & Wellness,18526.0,m-pesa,Home Delivery,G4S,4.66,531,6.0,Delivered,1.0
KE-10135,CUST-5033,2025-04-12,nairobi,Health & Wellness,11364.0,Credit/Debit Card,Boda Boda Last-Mile,Chui Lockers,1.13,326,2.0,Delivered,1.0
KE-10136,CUST-5314,2025-11-14,Kisumu,Home & Living,3374.0,Credit/Debit Card,Home Delivery,Chui Lockers,27.39,707,3.0,Delayed,3.0
KE-10137,CUST-5092,2025-01-14,Mombasa ,Groceries,19636.0,m-pesa,Home Delivery,G4S,20.19,547,7.0,Delivered,5.0
KE-10138,CUST-5162,2025-12-24,Kajiado,Home & Living,18951.0,COD,Pickup Station,Chui Lockers,1.42,766,5.0,Cancelled,2.0
KE-10139,CUST-5412,2025-03-08,Kiambu,Fashion & Apparel,5141.0,M-Pesa,Boda Boda Last-Mile,Local Rider,3.63,289,6.0,Delayed,
KE-10140,CUST-5162,2025-03-31,Uasin Gishu,Fashion & Apparel,6245.0,m-pesa,Boda Boda Last-Mile,Local Rider,1.23,776,5.0,Delivered,
KE-10141,CUST-5039,2025-05-02,Machakos,Electronics,22455.0,Cash on Delivery,Home Delivery,Wells Fargo,9.06,0,4.0,Delayed,4.0
KE-10142,CUST-5451,2025-07-13,Kisumu,Home & Living,23016.0,M-Pesa,Smart Locker,Wells Fargo,33.31,324,2.0,Delivered,3.0
KE-10143,CUST-5304,2025-11-11,kiambu,Fashion & Apparel,14727.0,m-pesa,Smart Locker,DHL,9.93,200,5.0,Delivered,1.0
KE-10144,CUST-5218,2025-02-14,Uasin Gishu,Electronics,6097.0,M-Pesa,Boda Boda Last-Mile,Chui Lockers,17.17,243,4.0,Delivered,2.0
KE-10145,CUST-5228,2025-01-23,Mombasa,Home & Living,23321.0,Credit/Debit Card,Pickup Station,Local Rider,2.23,685,5.0,Cancelled,2.0
KE-10146,CUST-5243,2025-06-03,Kajiado,Home & Living,19226.0,COD,Pickup Station,G4S,28.32,583,6.0,Returned,2.0
KE-10147,CUST-5427,2025-11-01,Nairobi County,Home & Living,11186.0,M-Pesa,Boda Boda Last-Mile,Sendy,14.56,752,1.0,Delivered,3.0
KE-10148,CUST-5444,2025-10-02,Mombasa ,Groceries,"KSh 16,000",Cash on Delivery,Boda Boda Last-Mile,Sendy,13.91,0,4.0,Delivered,3.0
KE-10149,CUST-5418,2025-06-05,Kajiado,Health & Wellness,10346.0,Cash on Delivery,Home Delivery,G4S,15.52,566,7.0,Delivered,5.0
KE-10150,CUST-5405,2025-03-23,kiambu,Health & Wellness,"KSh 19,134",m-pesa,Pickup Station,Sendy,8.81,519,3.0,Delayed,
KE-10151,CUST-5472,2025-03-05,Kisumu,Fashion & Apparel,16051.0,Cash on Delivery,Home Delivery,Wells Fargo,1.06,735,2.0,Returned,2.0
KE-10152,CUST-5137,2025-11-30,,Fashion & Apparel,20198.0,Cash on Delivery,Smart Locker,Chui Lockers,31.35,620,4.0,Cancelled,4.0
KE-10153,CUST-5299,,Machakos,Health & Wellness,21712.0,COD,Smart Locker,DHL,11.45,455,5.0,Cancelled,4.0
KE-10154,CUST-5338,2025-06-13,Machakos,FASHION,14215.0,Credit/Debit Card,Smart Locker,DHL,25.0,637,6.0,Delivered,
KE-10155,CUST-5448,2025-10-13,nairobi,Beauty,6498.0,m-pesa,Smart Locker,Chui Lockers,27.6,416,4.0,Returned,5.0
KE-10156,CUST-5297,2025-11-14,Nakuru,Beauty,10276.0,m-pesa,Boda Boda Last-Mile,G4S,11.14,232,6.0,Delivered,1.0
KE-10157,CUST-5231,2025-05-21,Uasin Gishu,Groceries,3384.0,COD,Boda Boda Last-Mile,Sendy,1.42,532,3.0,Delivered,
KE-10158,CUST-5002,2025-11-17,Kiambu,Electronics,19789.0,Cash on Delivery,Smart Locker,Chui Lockers,31.09,500,4.0,Delayed,1.0
KE-10159,CUST-5116,2025-04-25,,Home & Living,12512.0,Cash on Delivery,Home Delivery,Local Rider,34.81,0,1.0,Cancelled,3.0
KE-10160,CUST-5242,2025-12-26,,Groceries,22208.0,COD,Home Delivery,Local Rider,25.18,266,4.0,Delivered,5.0
KE-10161,CUST-5498,2025-04-14,nairobi,Groceries,,M-Pesa,Boda Boda Last-Mile,G4S,33.24,226,1.0,Delayed,3.0
KE-10162,CUST-5135,2025-08-26,Nairobi,FASHION,10746.0,,Pickup Station,DHL,22.69,598,3.0,Delivered,2.0
KE-10163,CUST-5058,2025-07-25,kiambu,Groceries,21761.0,M-Pesa,Pickup Station,Sendy,14.62,732,2.0,Cancelled,1.0
KE-10164,CUST-5441,2025-12-17,nairobi,Groceries,13976.0,M-Pesa,Pickup Station,DHL,30.57,783,6.0,Returned,
KE-10165,CUST-5328,2025-07-17,Uasin Gishu,Beauty,17066.0,M-Pesa,Smart Locker,G4S,11.65,669,6.0,Delivered,4.0
KE-10166,CUST-5227,2025-10-21,Kisumu,Groceries,1082.0,M-Pesa,Smart Locker,Local Rider,19.73,617,3.0,Delayed,3.0
KE-10167,CUST-5286,2025-11-14,Kiambu,Electronics,22091.0,Cash on Delivery,Smart Locker,DHL,3.81,654,6.0,Delivered,5.0
KE-10168,CUST-5100,2025-04-07,Mombasa,Health & Wellness,11573.0,Credit/Debit Card,Boda Boda Last-Mile,Chui Lockers,23.08,287,1.0,Delayed,5.0
KE-10169,CUST-5247,2025-09-18,Kajiado,Beauty,3893.0,Credit/Debit Card,Boda Boda Last-Mile,Local Rider,32.07,430,3.0,Delivered,2.0
KE-10170,CUST-5211,2025-11-05,Mombasa ,Home & Living,23826.0,m-pesa,Smart Locker,DHL,12.15,332,6.0,Delivered,5.0
KE-10171,CUST-5245,2025-10-26,kiambu,Health & Wellness,,m-pesa,Home Delivery,G4S,9.42,443,2.0,Delivered,2.0
KE-10172,CUST-5385,,Kisumu,Health & Wellness,18911.0,m-pesa,Smart Locker,DHL,23.29,546,7.0,Cancelled,1.0
KE-10173,CUST-5006,2025-05-09,Kisumu,Beauty,21721.0,m-pesa,Pickup Station,Wells Fargo,15.76,226,2.0,Delivered,4.0
KE-10174,CUST-5142,2025-10-12,,Groceries,"KSh 5,572",Cash on Delivery,Smart Locker,Chui Lockers,27.67,224,3.0,Cancelled,1.0
KE-10175,CUST-5402,2025-09-16,kiambu,Fashion & Apparel,22236.0,Credit/Debit Card,Home Delivery,Sendy,23.45,778,2.0,Delivered,4.0
KE-10176,CUST-5468,2025-02-28,,Home & Living,12786.0,Cash on Delivery,Pickup Station,Wells Fargo,18.03,321,,Delivered,2.0
KE-10177,CUST-5343,2025-11-19,kiambu,Fashion & Apparel,23527.0,M-Pesa,Pickup Station,Sendy,16.13,239,2.0,Cancelled,2.0
KE-10178,CUST-5466,2025-05-13,kiambu,Electronics,4376.0,Credit/Debit Card,Home Delivery,Wells Fargo,32.49,458,3.0,Delayed,
KE-10179,CUST-5015,2025-08-31,Kajiado,Health & Wellness,10165.0,Cash on Delivery,Home Delivery,Local Rider,30.63,0,5.0,Delivered,3.0
